experience,city,salary_lpa,skill_Python,skill_Machine_Learning,skill_SQL,skill_Java,skill_JavaScript,skill_React,skill_Node.js,skill_AWS,skill_Docker,skill_Kubernetes,skill_Data_Analysis,skill_Deep_Learning,skill_NLP,skill_Computer_Vision,skill_TensorFlow
11,Bangalore,23.94,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0
13,Pune,20.29,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0
9,Mumbai,18.49,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0
12,Noida,17.15,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
12,Chennai,17.26,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0
8,Kolkata,10.7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,Pune,15.38,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
0,Pune,8.27,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1
13,Bangalore,21.93,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0
13,Kolkata,18.38,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0
2,Chennai,10.15,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1
4,Kolkata,12.4,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
0,Chennai,5.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Delhi NCR,7.87,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,Bangalore,12.23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
12,Kolkata,13.96,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,Mumbai,13.73,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
13,Pune,17.26,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
7,Bangalore,19.77,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1
8,Chennai,11.34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Chennai,13.86,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,Noida,9.88,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Mumbai,14.59,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
3,Noida,12.74,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
2,Mumbai,9.19,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
9,Hyderabad,16.99,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
15,Pune,16.72,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
9,Chennai,17.68,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1
8,Chennai,14.2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
8,Kolkata,16.19,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1
6,Kolkata,11.4,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1
8,Delhi NCR,12.2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
6,Delhi NCR,11.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,Bangalore,12.25,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
12,Noida,18.59,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0
7,Hyderabad,13.41,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
3,Delhi NCR,9.18,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
12,Kolkata,18.58,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0
5,Pune,12.9,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0
13,Pune,16.66,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
10,Chennai,11.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,Bangalore,8.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,Chennai,12.49,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
7,Kolkata,15.06,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1
1,Noida,9.3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
14,Noida,20.7,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0
3,Pune,8.99,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,Delhi NCR,7.54,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,Kolkata,6.37,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
3,Kolkata,8.45,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
8,Delhi NCR,19.8,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0
7,Chennai,15.64,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0
2,Noida,7.71,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
5,Mumbai,15.8,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0
14,Noida,18.37,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
14,Noida,18.37,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
0,Delhi NCR,12.15,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0
13,Hyderabad,18.43,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
5,Bangalore,13.67,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0
15,Noida,18.4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
4,Pune,11.23,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
10,Hyderabad,14.87,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Bangalore,12.94,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1
8,Kolkata,8.94,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,Mumbai,12.77,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
13,Chennai,15.68,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,Bangalore,11.59,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
4,Kolkata,11.74,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
8,Hyderabad,18.5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
10,Delhi NCR,20.53,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1
1,Noida,12.49,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1
0,Mumbai,6.86,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
14,Bangalore,21.72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,Delhi NCR,10.89,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1
0,Pune,8.73,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
12,Pune,19.86,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1
15,Bangalore,27.28,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
14,Kolkata,17.08,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
10,Noida,12.99,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
15,Pune,17.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
3,Noida,12.59,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0
0,Pune,8.01,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
5,Mumbai,12.44,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
11,Mumbai,12.99,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,Pune,12.74,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
10,Hyderabad,14.37,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
4,Noida,9.29,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5,Noida,8.17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13,Kolkata,14.58,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
1,Kolkata,6.33,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
0,Kolkata,9.5,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
9,Mumbai,18.34,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
14,Chennai,15.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,Noida,8.29,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1
4,Hyderabad,7.61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,Noida,9.57,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
2,Noida,12.62,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0
5,Hyderabad,15.45,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1
10,Kolkata,17.6,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0
12,Bangalore,17.04,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
12,Mumbai,16.95,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10,Pune,18.26,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
15,Hyderabad,20.93,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0
11,Chennai,17.16,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0
7,Hyderabad,17.78,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1
2,Kolkata,8.19,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0
14,Noida,22.11,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
8,Hyderabad,17.98,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1
2,Noida,10.1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
13,Delhi NCR,17.55,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,Chennai,7.03,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
11,Mumbai,17.15,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
4,Kolkata,9.03,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0
3,Mumbai,9.77,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
6,Pune,12.87,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
3,Delhi NCR,10.82,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
9,Mumbai,14.21,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,Noida,7.01,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
1,Noida,7.82,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Delhi NCR,17.66,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
2,Hyderabad,11.31,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1
5,Mumbai,12.74,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,Hyderabad,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,Kolkata,11.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Kolkata,6.52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Kolkata,10.74,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
10,Kolkata,14.29,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
15,Chennai,22.94,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
4,Chennai,13.35,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0
9,Delhi NCR,16.81,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0
2,Hyderabad,9.35,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7,Pune,8.92,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,Hyderabad,12.21,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0
14,Bangalore,22.65,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,Mumbai,5.56,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8,Delhi NCR,13.21,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,Bangalore,19.1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1
1,Pune,13.48,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1
7,Mumbai,18.44,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
0,Pune,8.69,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
12,Delhi NCR,20.19,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
4,Mumbai,16.5,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0
1,Chennai,11.84,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
14,Chennai,20.46,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0
2,Kolkata,3.22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Delhi NCR,18.22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,Noida,9.72,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
3,Pune,9.79,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0
1,Delhi NCR,12.76,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0
1,Hyderabad,9.91,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1
15,Pune,14.42,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Hyderabad,10.89,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
14,Chennai,17.07,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
3,Pune,5.34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,Bangalore,15.21,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
13,Pune,20.54,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0
3,Bangalore,16.44,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1
2,Noida,7.05,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6,Pune,13.33,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
7,Hyderabad,11.42,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11,Bangalore,16.48,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
13,Mumbai,23.36,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0
2,Mumbai,12.54,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0
8,Kolkata,14.06,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
9,Noida,16.34,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
2,Chennai,7.42,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
14,Mumbai,18.63,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,Hyderabad,12.92,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1
7,Noida,16.0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1
12,Chennai,21.5,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
10,Kolkata,14.59,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
8,Mumbai,10.31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,Noida,9.03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
5,Pune,13.41,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
3,Delhi NCR,12.72,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
1,Kolkata,6.98,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
5,Hyderabad,9.01,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0
8,Kolkata,14.4,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0
7,Pune,11.38,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
7,Hyderabad,16.5,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
10,Kolkata,15.98,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
13,Pune,15.37,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
11,Bangalore,19.03,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
14,Noida,21.13,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0
5,Noida,11.64,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
11,Delhi NCR,14.08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,Noida,13.57,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0
12,Bangalore,18.41,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9,Hyderabad,11.35,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
1,Mumbai,11.3,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1
6,Hyderabad,8.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,Kolkata,6.13,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,Noida,8.48,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
6,Noida,16.69,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1
13,Kolkata,13.8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
9,Mumbai,13.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,Noida,6.79,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,Pune,16.81,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0
5,Kolkata,10.94,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
2,Noida,5.64,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,Hyderabad,14.41,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
9,Hyderabad,10.22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,Chennai,10.79,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
12,Bangalore,23.18,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0
8,Kolkata,11.78,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
12,Mumbai,18.1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
14,Pune,20.75,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
4,Mumbai,8.46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Delhi NCR,23.09,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
0,Noida,9.25,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
11,Pune,14.08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Chennai,7.13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
12,Mumbai,22.34,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0
12,Mumbai,20.52,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
7,Pune,13.74,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
15,Mumbai,23.53,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
1,Pune,10.69,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0
5,Hyderabad,17.29,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0
8,Chennai,14.34,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1
15,Mumbai,19.86,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
4,Kolkata,5.21,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
7,Kolkata,8.98,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,Pune,9.72,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1
3,Noida,9.63,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1
6,Hyderabad,16.54,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1
1,Kolkata,7.6,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0
4,Chennai,8.53,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8,Pune,16.48,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1
9,Noida,15.1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0
13,Hyderabad,20.96,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
8,Chennai,14.76,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0
11,Mumbai,18.79,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0
8,Bangalore,21.7,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1
3,Noida,11.4,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
10,Chennai,16.77,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1
2,Chennai,10.82,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1
3,Kolkata,10.93,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1
7,Bangalore,16.75,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
5,Kolkata,12.88,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1
2,Chennai,12.35,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
4,Delhi NCR,10.92,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
5,Hyderabad,13.35,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0
13,Hyderabad,17.21,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0
5,Bangalore,12.28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8,Chennai,11.22,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,Hyderabad,13.1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0
3,Bangalore,13.02,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
14,Pune,20.57,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1
13,Hyderabad,15.84,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
8,Chennai,16.39,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0
1,Kolkata,8.74,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
11,Bangalore,16.07,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14,Noida,17.78,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
7,Delhi NCR,12.02,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
12,Mumbai,17.83,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15,Bangalore,21.31,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
14,Hyderabad,17.55,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,Pune,9.97,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1
12,Delhi NCR,21.25,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1
2,Bangalore,12.92,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
10,Hyderabad,19.13,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0
0,Hyderabad,10.93,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0
8,Hyderabad,14.53,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3,Kolkata,13.75,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0
6,Chennai,10.26,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4,Delhi NCR,11.89,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4,Delhi NCR,10.31,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
11,Noida,16.25,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
14,Bangalore,19.27,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
8,Noida,15.43,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
9,Chennai,12.81,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
7,Delhi NCR,14.2,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0
4,Chennai,9.02,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
0,Hyderabad,6.56,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
14,Kolkata,15.99,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,Mumbai,10.46,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0
13,Kolkata,14.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Chennai,19.85,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0
11,Chennai,12.05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,Chennai,8.93,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
1,Chennai,4.97,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
12,Pune,20.21,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0
6,Hyderabad,12.1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
15,Bangalore,27.84,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1
13,Pune,19.18,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0
3,Kolkata,11.91,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
15,Delhi NCR,21.1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
11,Kolkata,11.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Pune,13.59,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
14,Noida,17.6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
